input	output
ask @CN@,why are there conflicts at school?	hey @CN@, @SCN@ asks why are there conflicts at school?
can you tell @CN@ arun is out next month?	hi @CN@, @SCN@ says arun is out next week.
can you ask @CN@ how to make a good conversation with people	hi @CN@ , @SCN@ likes to know how you make a good conversation with people
tell @CN@ , they cannot afford the party by themselves	hi @CN@ , @SCN@ wants to tell you they cannot afford the party by themselves
ask @CN@ ,has he ever eaten sushi	hi @CN@ , @SCN@ is asking if you ever eaten sushi
can you ask @CN@ about the quality metrics	@SCN@ wants to know about the quality metrics
ask @CN@ ‘is it raining outside?’	hi @CN@ , @SCN@ is asking whether it is raining outside?
ask @CN@ , do you want me to play guitar?	hey @CN@ , @SCN@ wonders if you want him to play guitar
can you ask @CN@ how to improve the accent	hi @CN@ , @SCN@ enquires how to improve the accent
tell @CN@ to write on the cd	hey @CN@, @SCN@ requests you to write on the cd
tell @CN@ there's nothing whatsoever we can do about it	hi @CN@ , @SCN@ says there's nothing whatsoever they can do about it
can you ask @CN@ to pay the rent on time	hi @CN@ , @SCN@ wants you to pay the rent on time
ask @CN@ ,do you know tina	hi @CN@ , @SCN@ wondered if you know tina.
ask @CN@ , who wants cake?	hey @CN@ , @SCN@ wants to know who wants cake?
ask @CN@ do you want me to transfer money now	hi @CN@, @SCN@ asks do you want them to transfer money now
tell @CN@ , i am going for a walk	hey @CN@ , @SCN@ said that they are going for a walk
can you ask @CN@ if she stays here for a week	hi @CN@ , @SCN@ asks if you can stay there for a week
ask @CN@ do you beli @CN@ them	hey @CN@ , @SCN@ likes to know whether you beli @CN@ them
ask @CN@ if you want to watch a movie	hey @CN@ @SCN@ is wondering if you want to watch a movie
please ask @CN@ , did he arrive on time?	hi @CN@ , @SCN@ would like to know, if he arrived on time.
ask @CN@, where does she live?	hi @CN@, @SCN@ wants to know where do you live?
can you tell @CN@ that the music is a drug	hey @CN@ , @SCN@ would like you to know that the music is a drug
can you tell @CN@ to take care of the kid	hi @CN@ , @SCN@ asked you to take care of the kid.
ask @CN@ what kind of food doesn't she like?	hi @CN@, @SCN@ wants to know what kind of food she doesn't like.
ask @CN@ if she's home.	hey @CN@ , @SCN@ is asking if you are home.
can you ask @CN@ for sushi takeout?	hi, @CN@, @SCN@ would like sushi takeout.
can you tell @CN@ that the venue is far from home	hey @CN@ , @SCN@ says that the venue is far from home
can you ask @CN@ can you ask @SCN@ to get some apples	hey @CN@ , @SCN@ would like you to get some apples
ask @CN@ , which door is opened?	hey @CN@ , @SCN@ needs to know which door is opened?
ask @CN@ if she is serious about this job	hey @CN@ , @SCN@ is wondering if you are serious about that job
ask @CN@ if she liked the show	hi @CN@ , @SCN@ is asking if you liked the show
could you please ask @CN@ , did he go to market?	hey @CN@ , @SCN@ wonders whether he went to market.
could you ask @CN@ , who opened the door?	hi wonder woman, @SCN@ would like to know who opened the door?
ask @CN@ , can you take the cat for a walk	hey @CN@ , @SCN@ is wondering if you can take the cat for a walk
ask @CN@ to come to my birthday	hey @CN@! @SCN@ is inviting you to their birthday
ask @CN@ about the programming language	hi @CN@ , @SCN@ demanded to know about the programming language.
ask @CN@ , do you study french?	hey @CN@ , @SCN@ is asking whether you study french?
can you ask @CN@ for nutritious smoothie	hi @CN@ , @SCN@ would like to ask for nutritious smoothie
ask @CN@ , do you know any magic tricks?	hey @CN@ , @SCN@ is wondering if you know any magic tricks?
can you let @CN@ know that i finally mailed her package	hi @CN@ , @SCN@ says @SCN@ finally mailed your package
can you ask @CN@ to add ram to seed up the computer	hi @CN@ , @SCN@ would like you to add ram to seed up the computer
can you tell @CN@ that the internet replaced library	hey @CN@ , @SCN@ would like you to know that the internet replaced library
tell @CN@ she's invited to the dance too	hi @CN@ , @SCN@ says you have invited to the dance too
ask @CN@, where do you usually buy clothes?	hey @CN@, @SCN@ asks where do you usually buy clothes?
could you tell @CN@ , do you like to play games?	hi @CN@ , @SCN@ is asking if you would like to play games
ask @CN@ where he found that book	hey @CN@ , @SCN@ would like to know where you found that book
ask @CN@ to come to the chess tournament	hi @CN@ , @SCN@ asks you to go to the chess tournament
ask @CN@ , is dinner ready?	hey @CN@ , @SCN@ needs to know if the dinner is ready?
ask @CN@ , how to solve maths puzzle	hi @CN@ , @SCN@ is asking how to solve maths puzzle
ask @CN@ why he is so sad	hey @CN@ , @SCN@ wants to know why he you are sad
ask @CN@ ,whom do we have to contact?	hey @CN@ , @SCN@ is wondering whom do we have to contact
can you tell @CN@ , to send his current location.	hey @CN@ , @SCN@ is wondering if you can send your current location?
ask @CN@ how to commit suicide	hey @CN@ , @SCN@ would like to know how to commit suicide
ask @CN@ are you a task oriented person or a people oriented person?	@SCN@ asks are you a task oriented person or a people oriented person?
ask @CN@ ,who is edward?	hi @CN@ , @SCN@ asks who is edward?
ask @CN@ if he wants me to write his song?	hi @CN@, @SCN@ would like to know if you want them to write your song?
can you ask @CN@ to use specs regularly	hi @CN@ , @SCN@ is requesting you to use specs regularly
can you tell @CN@ the task is easy	hey @CN@ , @SCN@ wants to convey that the task is easy
tell @CN@ to join a part time mba program	hi @CN@ , @SCN@ told you to join a part time mba program
please ask @CN@, if you can go to hospital alone ?	hey @CN@, @SCN@ is wondering whether if you can go to hospital alone ?
ask @CN@ if she is cold	hi @CN@, @SCN@ wants to know if you are cold
ask @CN@, should you stay home tonight	hi @CN@, @SCN@ asks whether you should stay home tonight
ask garret why he does taxes early	hi garret, @SCN@ is asking why you do your taxes early?
ask @CN@ , have you gone crazy?	hi @CN@ , @SCN@ wants to know if you have gone crazy
tell @CN@ , there are seven continents on earth.	hey @CN@ , @SCN@ says there are seven continents on earth.
ask @CN@ ,did you have a good trip	hey @CN@ , @SCN@ wants to know if you had a good trip
can you ask @CN@ , is this your wallet ?	hey @CN@ , @SCN@ would like to know if this is your wallet
remind @CN@ to courier the documents tomorrow	@SCN@ reminds to courier the documents tomorrow
ask @CN@ about the alexa device	hey @CN@ , @SCN@ wants to know about the alexa device
ask @CN@ about the package provided	hey @CN@ , @SCN@ is asking about the package provided
ask @CN@, don't you love me again?	hey @CN@ @SCN@ want to know if you don't love her again?
ask @CN@ , had they visited her before?	hi @CN@ , @SCN@ asks whether they have ever visited her
tell @CN@ you're super handsome	hi @CN@ , @SCN@ says you are super handsome
tell @CN@ that there is no water left	hey @CN@, @SCN@ is saying that there is no water left
call @CN@ for an entrepreneurial meetup in the weekend	hi @CN@ , @SCN@ called you for an entrepreneurial meetup in the weekend
ask @CN@ can you live without music	hey @CN@ , @SCN@ wishes to know whether you can live without music
can you ask @CN@ to clean the room	hi @CN@ , @SCN@ wanted you to clean the room.
please ask @CN@ about the meeting	hi @CN@ , @SCN@ wishes to know about the meeting
can you ask @CN@ how to write screenplay for crime thriller	hi @CN@ , @SCN@ wants to know how to write screenplay for crime thriller
remind @CN@ to post the revised payslip on the employee portal	@SCN@ reminds to post the revised payslip on the employee portal
tell @CN@ i need a ride to school.	hi @CN@, @SCN@ would like to say they need a ride to school.
tell @CN@ to buy a basket	hi @CN@ , @SCN@ apprised you to buy a basket.
ask @CN@ for a train trip to ooty	hi @CN@ , @SCN@ invites you to join him for a train trip to ooty
ask @CN@ , did she go by car?	hi @CN@ , @SCN@ wonders whether she went by car
ask @CN@ ,is mr. smith a teacher?	hi @CN@ , @SCN@ questioned, is mr. smith a teacher?
please ask @CN@ about the fight with their neighbour	hey @CN@ , @SCN@ wants to know about the fight with your neighbour
ask @CN@ why don't he take protein tablets to regain his strength	@SCN@ ask why don't you take protein tablet to regain your strength
tell @CN@ , the pasta and salad were delicious.	hey @CN@ , @SCN@ says the pasta and salad were delicious.
ask @CN@ , how to prepare popcorn	hi @CN@ , @SCN@ wants to know how to prepare popcorn
ask @CN@ to drink carrot juice	hi @CN@ , @SCN@ advices you to drink carrot juice
can you tell @CN@ that the owen is not working	hey @CN@ , @SCN@ conveys that the owen is not working
ask @CN@ which apartment on canal street do you want to rent?	hi @CN@, @SCN@ asks which apartment on canal street do you want to rent?
please ask @CN@ about his time schedule	hi @CN@ , @SCN@ is interested to know about your time schedule
ask @CN@, why is it important to have reliable ambassadors?	hi @CN@, @SCN@ is asking why is it important to have reliable ambassadors
tell @CN@ to intergrate the modules	hi @CN@ , @SCN@ wants you to intergrate the modules
can you ask @CN@ to pick me up from the hotel	hi @CN@ , @SCN@ wants you to pick me up from the hotel
ask @CN@ , did you attend the wedding?	hey @CN@ , @SCN@ is wondering if you attended the wedding
ask @CN@ about the returns policy	hey @CN@ , @SCN@ wants to know about the returns policy
ask @CN@ , do you know to sing?	hey @CN@ , @SCN@ is asking whether you know to sing?
can you ask @CN@ about the product launch	hey @CN@ , @SCN@ would like to know about the product launch
tell @CN@ , can you come for a movie tonight?	hey @CN@ , @SCN@ asks if you can come for a movie tonight
ask @CN@ why he chose literature	hey @CN@ , @SCN@ is wondering why you chose literature
ask @CN@ to come to the cultural celebration	hi @CN@ , @SCN@ would like to know if he would like to go on the cultural celebration
tell @CN@ , seeds need to be dried first	hi @CN@ , @SCN@ says seeds need to be dried first
ask @CN@ if we will meet tomorrow.	hey, @CN@! @SCN@ is asking you whether will you be meeting tomorrow.
tell @CN@ that i am going to increase the limit of the budget	hey @CN@ , @SCN@ is saying that they are going to increas the limit of the budget
tell @CN@ , he always skates on fridays	hey @CN@ , @SCN@ says they always skates on fridays
ask @CN@ , do you like pizza?	hi @CN@ , @SCN@ asks if you like pizza
please ask @CN@ about the dancing contest	hey @CN@ , @SCN@ wants to know about the dancing contest
can you ask @CN@ about her music academy	hey @CN@ , @SCN@ would like to know about your music academy
ask @CN@ , did you clean the garden?	hey @CN@ , @SCN@ would like to know if you cleaned the garden
can you tell @CN@ that the conpensations are made	hey @CN@ , @SCN@ says that the conpensations are made
tell @CN@ to spend time with their kids	hey @CN@ , @SCN@ would like you to spend time with your kids
can you ask @CN@ to come for jogging this evening	hi @CN@ , @SCN@ is asking you to come for jogging this evening
can you ask @CN@ about the public meet	hi @CN@ , @SCN@ wanted to know about the public meet.
can you tell @CN@ that the performance of the guitarist is extraordinary	hey @CN@ , @SCN@ says that the performance of the guitarist is extraordinary
ask @CN@ about the loss so far	hey @CN@ , @SCN@ would like to know about the loss so far
tell @CN@ saying i'm bored	hi @CN@ , @SCN@ says @SCN@ is bored
can you tell @CN@ that there are mistakes in the file	hi @CN@ , @SCN@ wants to say that there are mistakes in the file
ask @CN@ which is her chosen examination center	hi @CN@, @SCN@ is asking which is your chosen examination center
can you tell @CN@ that movie was worth a watch	hi @CN@ , @SCN@ wants you to know that movie was worth a watch
ask @CN@ are you addicted to facebook	hey @CN@ , @SCN@ questions are you addicted to facebook
can you ask @CN@ to maintain the purchase log	hey @CN@ , @SCN@ is asking you to maintain the purchase log
ask @CN@ , how to block a number	hi @CN@ , @SCN@ wants to know how to block a number
ask @CN@ do you buy books on kindle	hey @CN@ , @SCN@ wishes to know whether you buy books on kindle
ask @CN@ do you want to make a move	hey @CN@ , @SCN@ is wondering whether you want to make a move
please ask @CN@ about the latest released shows	hi @CN@ , @SCN@ wishes to know about the latest released shows
ask @CN@, what impact does divorce have on a family in your country?	hey @CN@, @SCN@ asks what impact does divorce have on a family in your country?
tell @CN@ that the train is running late	hi @CN@ , @SCN@ is telling that the train is running late
ask @CN@ , could you please lend me some money?	hey @CN@ , @SCN@ wants to know if you could lend them some money
ask @CN@ ,when did you start working here	hey @CN@ , @SCN@ wants to know when did you start working here
can you ask @CN@ to get a wedding planner	hey @CN@ , @SCN@ wants you to get a wedding planner
ask @CN@ , can you pay the bill?	hey @CN@ , @SCN@ wants to know if you can pay the bill
ask @CN@ to find a school for his child in tacoma	hi @CN@, @SCN@ is requesting you to find a school for your child in tacoma
ask @CN@ , does he have a brother	hi @CN@ , @SCN@ likes to know if you have a brother.
ask @CN@ about his basketball training	hi @CN@ , @SCN@ would like to know about your basketball training
ask @CN@ about his short term goal	hi @CN@ , @SCN@ would want to know about your short term goal
can you tell @CN@ jake is due next year?	hi @CN@, @SCN@ wants you to know jake is due next year.
tell @CN@ , smoking always causes cancer.	hey @CN@ , @SCN@ would like to tell you that smoking always causes cancer.
ask @CN@ about the package provided	hey @CN@ , @SCN@ wants to know about the package provided
can you remind @CN@ to pickup the kids from the dance studio	hi @CN@, @SCN@ reminds you to pickup the kids from the dance studio
ask @CN@ do you wanna learn	hey @CN@ , @SCN@ wants to know whether you wanna learn
ask @CN@ , how to remove blackheads	hi @CN@ , @SCN@ would like to know how to remove blackheads
can you tell @CN@ to attend physics lab	hi @CN@ , @SCN@ wanted you to attend physics lab.
tell @CN@ to send his processed file	hi @CN@ , @SCN@ would like you to send your processed file
tell @CN@ can i borrow your shirt	hi @CN@ , @SCN@ is asking if @SCN@ can borrow your shirt
ask @CN@ about his familiarity with the user interface of the application	hi @CN@ , @SCN@ would want to know about your familiarity with the user interface of the application
tell @CN@ to quickly take the cars to the mechanic before it closes	hi @CN@, @SCN@ would like you to take the car to the mechanic before it closes
do you know what team did @CN@ pick?	@CN@, @SCN@ wants to know what team you picked
ask @CN@, what is fashion?	hey @CN@, @SCN@ asks what is fashion?
tell @CN@ to get there as soon as possible	hi @CN@ , @SCN@ is asking you to get there as soon as possible
tell @CN@ to send his current photo	hi @CN@ , @SCN@ would like you to send your current photo
can you tell @CN@ , where do you live?	hi @CN@ , @SCN@ asks where do you live?
tell @CN@ to buy mangoes	hey @CN@ , @SCN@ is asking you to buy mangoes
ask @CN@ to forgive me	hey @CN@ , @SCN@ asks you to forgive them
ask @CN@ does this mean you really exist	hi @CN@ , @SCN@ is asking if this means you really exist
kindly invite @CN@ for my concert tonight.	hello @CN@, @SCN@ would like to invite you for his concert tonight.
call @CN@ for an inter corporate talks	hi @CN@ , @SCN@ would like you to attend an inter corporate talks
ask @CN@ what is best present you ever received?	@SCN@ wants to know what is best present you ever received?
tell @CN@ to not forget his phone this time.	hey @CN@, @SCN@ says to not forget your phone this time.
ask @CN@ how to play chess	hey @CN@ , @SCN@ is interested to know how to play chess
tell @CN@ i'm on my way.	hi @CN@, @SCN@ says they're on their way.
can you ask @CN@ how to print images	hi @CN@ , @SCN@ asked how to print images.
can you ask @CN@ what some of her favorite bands are?	@CN@, @SCN@ wants to know who your favorite bands are
tell @CN@ jane is appliyng for the new job	hi @CN@ , @SCN@ is telling that jane is appliyng for the new job
ask @CN@ for the pickup time	hey @CN@, @SCN@ is asking for the pickup time
tell @CN@ that the car is in service station	hi @CN@ , @SCN@ wants you to know that the car is in service station
can you ask @CN@ to fill the application form	hi @CN@ , @SCN@ would like you to fill the application
ask @CN@ , does the cake tastes good?	hey @CN@ , @SCN@ needs to know if the cake tastes good?
ask @CN@ who do we go see when we're sick	hi @CN@ @SCN@ is asking who do we go see when we're sick
can you ask @CN@ to go to hospital for checkup	hi @CN@ , @SCN@ wanted you to go to hospital for checkup.
can you tell @CN@ that there the weather is pleasant outside	hi @CN@ , @SCN@ notifies that there the weather is pleasant outside
can you ask @CN@ to get office transportation	hey @CN@ , @SCN@ is asking you to get office transportation
tell @CN@ , the man walked into the bank and made a deposit.	hey @CN@ , @SCN@ is saying the man walked into the bank and made a deposit.
can you ask @CN@ how to start a conversation	hi @CN@ , @SCN@ requested to know how to start a conversation.
can you tell @CN@ that new markers need to be purchased	hi @CN@ , @SCN@ wants you to know that new markers need to be purchased
please ask about his experience in last company	hey @CN@ , @SCN@ needs to know about your experience in last company
tell @CN@ that i will join with you guys in the next trip	hey @CN@, @SCN@ is saying that they will join with you guys in the next trip
ask @CN@ , is james the headmaster of the school	hi @CN@ , @SCN@ is uncertain if james is the headmaster of the school.
ask @CN@ , have you passed your assignment	hey @CN@ , @SCN@ would like to know if you have passed your assignment
ask @CN@ to eat the breakfast kept on the table	hi @CN@ , @SCN@ asks you to eat the breakfast kept on the table
please ask @CN@ why she did not come last night.	hi @CN@, @SCN@ wants to know why you did not come last night.
ask @CN@ why his job description didn't get updated yet.	@SCN@ would like to know why your job description didn't get updated yet.
could you please ask @CN@ , does adam want a new job?	hi @CN@ , @SCN@ is would like to know, if he wanted a new job
ask @CN@ , do you like to dance?	hey @CN@ , @SCN@ wishes to know whether you like to dance?
can you tell @CN@ , why don’t we go out visit some old friends this afternoon?	hi @CN@ , @SCN@ questions whether to visit some old friends in the evening
tell @CN@ that jack has gone out with his friends	hi @CN@ , @SCN@ says that jack has gone out with their friends
can you ask @CN@ how to handle a stressful situation	hi @CN@ , @SCN@ is eager to know how to handle a stressful situation
tell @CN@ ,ronny and ron were dancing and singing.	hey @CN@ , @SCN@ wants to tell you that ronny and ron were dancing and singing.
please ask @CN@ , can he participate in the magic show?	hey @CN@ , @SCN@ wants to know whether you can participate in the magic show?
can you ask @CN@ to work on other possibilities	hey @CN@ , @SCN@ wants you to work on other possibilities
ask @CN@ ,did you go to office	hey @CN@ , @SCN@ would like to know if you are going to office
ask @CN@, what does your last text message mean?	hi @CN@, @SCN@ wants to know what your last text message meant?
can you tell @CN@ a, do you cook?	hey @CN@ , @SCN@ is wondering whether do you cook?
can you tell @CN@ to balance her routine	hi @CN@ , @SCN@ wanted you to balance your routine.
tell @CN@, experience in cus@CN@er support will be considered	hi @CN@, @SCN@ wants you to know that experience in cus@CN@er support will be considered
tell @CN@ , russia has a larger surface area than pluto.	hey @CN@ , @SCN@ says russia has a larger surface area than pluto.
ask @CN@ , was he reading his lessons	hi @CN@ , @SCN@ asked if you were reading your lessons.
tell @CN@ to select a spot for the picinc	hi @CN@ , @SCN@ would like you to select a spot for the picinc
can you ask @CN@ what was her test score?	hi @CN@, @SCN@ wants to know what your test score was.
ask @CN@ about his interest	hi @CN@ , @SCN@ requests to know about your interest
please ask @CN@ about the places visted today	hi @CN@ , @SCN@ wishes to know about the places visited today
ask @CN@ to calculate the final bill	hey @CN@ , @SCN@ wants you to calculate the final bill
can you tell @CN@ that the smell is good	hi @CN@ , @SCN@ would like to convey that the smell is good
can you tell @CN@ that the credentials are not valid	hey @CN@ , @SCN@ would like you to know that the credentials are not valid
ask @CN@, doesn't the hotel have a conference hall?	hey @CN@, @SCN@ is asking doesn't the hotel have a conference hall?
ask @CN@ about her favourite theme music	hey @CN@ , @SCN@ would like to know about your favourite theme music
ask @CN@ , can you write a letter to uncle ben	hey @CN@ , @SCN@ would like to know if you can write a letter to uncle ben
ask @CN@ about his job opportunities	hi @CN@ , @SCN@ would want to know about your job opportunities
can you tell @CN@ that the dance is good for mental health	hey @CN@ , @SCN@ would like you to know that the dance is good for mental health
can you tell @CN@ that the transportation is not convenient	hey @CN@ , @SCN@ is informing that the transportation is not convenient
when are you moving out?	hi @CN@, @SCN@ would like to know when you are moving out?
ask @CN@ , are you a doctor	hi @CN@ , @SCN@ questioned if you are a doctor.
can you ask @CN@ , where has martha gone	hey @CN@ , @SCN@ would like to know where martha has gone
can you ask @CN@ to make a movie list for the weekend	hi @CN@ , @SCN@ asks you to make a movie list for the weekend
ask @CN@, did you reached home	hi @CN@, @SCN@ wants to know if you reached home
please invite @CN@ to my sister's reception	hi @CN@ , @SCN@ would like to their sister's reception
